tensor(1.2380) tensor(2.8477e-09)
tensor(0.2284) tensor(5.3741e-16)
tensor(0) tensor(0)
tensor(0.6626) tensor(2.5439e-08)
tensor(0.1373) tensor(3.8467e-16)
tensor(0) tensor(0)
tensor(0.2383) tensor(3.8884e-09)
tensor(0.0355) tensor(1.2622e-14)
tensor(0) tensor(0)
tensor(1.6355) tensor(6.5531e-08)
tensor(0.3562) tensor(4.7380e-14)
tensor(0) tensor(0)
tensor(0.4735) tensor(5.5225e-09)
tensor(0.0645) tensor(4.5354e-16)
tensor(0) tensor(0)
tensor(0.3118) tensor(1.2023e-05)
tensor(0.0222) tensor(0.0049)
tensor(0) tensor(0)
tensor(0.1179) tensor(7.5132e-08)
tensor(0.0064) tensor(7.1199e-15)
tensor(0) tensor(0)
tensor(0.5747) tensor(0.0003)
tensor(0.0376) tensor(0.0043)
tensor(0) tensor(0)
tensor(0.2349) tensor(6.1095e-05)
tensor(0.0295) tensor(0.0049)
tensor(0) tensor(0)
tensor(0.1243) tensor(3.5393e-05)
tensor(0.0061) tensor(5.5702e-05)
tensor(0) tensor(0)
tensor(0.4003) tensor(0.0042)
tensor(0.1562) tensor(0.0034)
tensor(0) tensor(0)
tensor(0.4391) tensor(0.0004)
tensor(0.0873) tensor(0.0130)
tensor(0) tensor(0)
tensor(0.2885) tensor(1.2731e-09)
tensor(0.0155) tensor(6.2058e-16)
tensor(0) tensor(0)
tensor(0.4977) tensor(1.1972e-10)
tensor(0.1076) tensor(1.1773e-15)
tensor(0) tensor(0)
tensor(0.3226) tensor(0.0013)
tensor(0.4243) tensor(0.0021)
tensor(0) tensor(0)
tensor(0.6699) tensor(0.0026)
tensor(0.0713) tensor(0.0028)
tensor(0) tensor(0)
tensor(0.2042) tensor(5.4322e-07)
tensor(0.0143) tensor(6.2257e-13)
tensor(0) tensor(0)
tensor(0.3427) tensor(0.0007)
tensor(0.1115) tensor(0.0099)
tensor(0) tensor(0)
tensor(0.3456) tensor(0.0005)
tensor(0.0525) tensor(0.0072)
tensor(0) tensor(0)
tensor(0.1040) tensor(1.2713e-05)
tensor(0.0087) tensor(0.0001)
tensor(0) tensor(0)
tensor(0.2771) tensor(0.0031)
tensor(0.0423) tensor(0.0094)
tensor(0) tensor(0)
tensor(0.4644) tensor(0.0002)
tensor(0.0449) tensor(0.0080)
tensor(0) tensor(0)
tensor(0.1420) tensor(9.6527e-05)
tensor(0.0048) tensor(5.6514e-05)
tensor(0) tensor(0)
tensor(0.3908) tensor(0.0018)
tensor(0.0843) tensor(0.0157)
tensor(0) tensor(0)
tensor(0.2804) tensor(0.0001)
tensor(0.0997) tensor(0.0156)
tensor(0) tensor(0)
tensor(0.3210) tensor(1.9360e-08)
tensor(0.0148) tensor(1.9765e-14)
tensor(0) tensor(0)
tensor(0.3130) tensor(3.7231e-09)
tensor(0.0415) tensor(2.1243e-14)
tensor(0) tensor(0)
tensor(0.8834) tensor(0.0013)
tensor(0.0744) tensor(0.0085)
tensor(0) tensor(0)
tensor(0.8972) tensor(7.9523e-05)
tensor(0.0703) tensor(0.0093)
tensor(0) tensor(0)
tensor(0.1548) tensor(1.5024e-06)
tensor(0.0118) tensor(2.1791e-11)
tensor(0) tensor(0)
tensor(0.2197) tensor(0.0004)
tensor(0.0498) tensor(0.0081)
tensor(0) tensor(0)
tensor(0.3430) tensor(0.0006)
tensor(0.0574) tensor(0.0072)
tensor(0) tensor(0)
tensor(0.1149) tensor(1.5713e-06)
tensor(0.0061) tensor(7.4061e-11)
tensor(0) tensor(0)
tensor(0.2628) tensor(0.0002)
tensor(0.0475) tensor(0.0086)
tensor(0) tensor(0)
tensor(0.3767) tensor(0.0006)
tensor(0.0459) tensor(0.0053)
tensor(0) tensor(0)
tensor(0.0749) tensor(1.0553e-06)
tensor(0.0074) tensor(3.1253e-11)
tensor(0) tensor(0)
tensor(0.2411) tensor(0.0004)
tensor(0.0309) tensor(0.0083)
tensor(0) tensor(0)
tensor(0.2887) tensor(0.0013)
tensor(0.0268) tensor(0.0052)
tensor(0) tensor(0)
tensor(0.1141) tensor(1.2643e-05)
tensor(0.0046) tensor(7.4413e-05)
tensor(0) tensor(0)
tensor(0.1836) tensor(0.0002)
tensor(0.0443) tensor(0.0080)
tensor(0) tensor(0)
tensor(0.2366) tensor(0.0019)
tensor(0.0565) tensor(0.0057)
tensor(0) tensor(0)
tensor(0.1127) tensor(3.0708e-05)
tensor(0.0148) tensor(0.0002)
tensor(0) tensor(0)
tensor(0.2086) tensor(0.0017)
tensor(0.0330) tensor(0.0081)
tensor(0) tensor(0)
